actor	status: initialised
actor	event id: 324000	time 0.00775643s
actor	event id: 325000	time 0.011991s
actor	event id: 326000	time 0.00756345s
actor	event id: 327000	time 0.0130577s
actor	event id: 328000	time 0.017065s
actor	event id: 329000	time 0.0123048s
actor	event id: 330000	time 0.0110049s
actor	event id: 331000	time 0.00941847s
actor	event id: 332000	time 0.00920989s
actor	event id: 333000	time 0.00734103s
actor	event id: 334000	time 0.0138272s
actor	event id: 335000	time 0.00754056s
actor	event id: 336000	time 0.0093758s
actor	event id: 337000	time 0.00747659s
actor	event id: 338000	time 0.00946442s
actor	event id: 339000	time 0.0507295s
actor	event id: 340000	time 0.0103183s
actor	source	file:videos/China 1943 Alan Ladd & Loretta Young [DCE8iK0us7g].webm
actor	next video index: 21
actor	seekable: false	duration: 4736821
actor	event id: 341000	time 0.0144916s
actor	event id: 342000	time 0.0127965s
actor	event id: 343000	time 0.00782587s
actor	event id: 344000	time 0.00727805s
actor	event id: 345000	time 0.00884136s
actor	event id: 346000	time 0.0103765s
actor	event id: 347000	time 0.0536935s
actor	event id: 348000	time 0.0261239s
actor	event id: 349000	time 0.0203984s
actor	event id: 350000	time 0.0483232s
actor	event id: 351000	time 0.0595267s
actor	event id: 352000	time 0.0485508s
actor	event id: 353000	time 0.0608016s
actor	event id: 354000	time 0.0539844s
actor	event id: 355000	time 0.0109128s
actor	event id: 356000	time 0.0073527s
actor	event id: 357000	time 0.0580014s
actor	event id: 358000	time 0.0113777s
actor	event id: 359000	time 0.0078439s
actor	event id: 360000	time 0.00575967s
actor	event id: 361000	time 0.00538048s
actor	event id: 362000	time 0.00671718s
actor	event id: 363000	time 0.00695693s
actor	event id: 364000	time 0.00591869s
actor	event id: 365000	time 0.00982076s
actor	event id: 366000	time 0.00622064s
actor	event id: 367000	time 0.00633851s
actor	event id: 368000	time 0.0245149s
actor	event id: 369000	time 0.00918377s
actor	event id: 370000	time 0.0147049s
actor	event id: 371000	time 0.0570277s
actor	event id: 372000	time 0.0512166s
actor	event id: 373000	time 0.0616925s
actor	event id: 374000	time 0.0106658s
actor	event id: 375000	time 0.0101806s
actor	event id: 376000	time 0.0140585s
actor	event id: 377000	time 0.00626015s
actor	event id: 378000	time 0.0123272s
actor	event id: 379000	time 0.015908s
actor	event id: 380000	time 0.0129419s
actor	event id: 381000	time 0.00589716s
actor	event id: 382000	time 0.0572789s
actor	event id: 383000	time 0.0205858s
actor	event id: 384000	time 0.0563915s
actor	event id: 385000	time 0.0625147s
actor	event id: 386000	time 0.0299829s
actor	event id: 387000	time 0.020031s
actor	event id: 388000	time 0.0466451s
actor	event id: 389000	time 0.0603382s
actor	event id: 390000	time 0.0260207s
actor	event id: 391000	time 0.0131252s
actor	event id: 392000	time 0.0227547s
actor	event id: 393000	time 0.0243396s
actor	event id: 394000	time 0.0107818s
actor	event id: 395000	time 0.0177525s
actor	event id: 396000	time 0.00954213s
actor	event id: 397000	time 0.00894916s
actor	event id: 398000	time 0.00918134s
actor	event id: 399000	time 0.0098889s
actor	event id: 400000	time 0.00588562s
actor	event id: 401000	time 0.011655s
actor	event id: 402000	time 0.0102059s
actor	source	file:videos/Copacabana 1947 Groucho Marx, Carmen Miranda & Steve Cochran [WxUBbz4oHq0].webm
actor	next video index: 22
actor	seekable: false	duration: 5505681
actor	event id: 403000	time 0.00789509s
actor	event id: 404000	time 0.00753847s
actor	event id: 405000	time 0.0185777s
actor	event id: 406000	time 0.0111203s
actor	event id: 407000	time 0.00842176s
actor	event id: 408000	time 0.0105861s
actor	event id: 409000	time 0.0103619s
actor	event id: 410000	time 0.00919705s
actor	event id: 411000	time 0.00825542s
actor	event id: 412000	time 0.00847942s
actor	event id: 413000	time 0.00681115s
actor	event id: 414000	time 0.00732841s
actor	event id: 415000	time 0.00634149s
actor	event id: 416000	time 0.00819264s
actor	event id: 417000	time 0.00686095s
actor	event id: 418000	time 0.00844455s
actor	event id: 419000	time 0.00777408s
actor	event id: 420000	time 0.00912182s
actor	event id: 421000	time 0.00754718s
actor	event id: 422000	time 0.0072128s
actor	event id: 423000	time 0.0138222s
actor	event id: 424000	time 0.0141932s
actor	event id: 425000	time 0.0154642s
actor	event id: 426000	time 0.00853358s
actor	event id: 427000	time 0.00743078s
actor	event id: 428000	time 0.0190623s
actor	event id: 429000	time 0.00727851s
actor	event id: 430000	time 0.00789182s
actor	event id: 431000	time 0.00848787s
actor	event id: 432000	time 0.00705144s
actor	event id: 433000	time 0.0222372s
actor	event id: 434000	time 0.00748173s
actor	event id: 435000	time 0.0100281s
actor	event id: 436000	time 0.0249419s
actor	event id: 437000	time 0.012605s
actor	event id: 438000	time 0.0107744s
actor	event id: 439000	time 0.0107711s
actor	event id: 440000	time 0.0118727s
actor	event id: 441000	time 0.00931762s
actor	event id: 442000	time 0.0127419s
actor	event id: 443000	time 0.0146522s
actor	event id: 444000	time 0.00851135s
actor	event id: 445000	time 0.00756223s
actor	event id: 446000	time 0.00790213s
actor	event id: 447000	time 0.0113805s
actor	event id: 448000	time 0.0129251s
actor	event id: 449000	time 0.00935248s
actor	event id: 450000	time 0.00914233s
